filename	line_num	text	x	y	width	height	page
65054.pdf	0	266	835	125	43	20	26
65054.pdf	1	รายละเอียดงบประมาณจําแนกตามงบรายจ่าย	241	262	423	28	26
65054.pdf	2	งานอํานวยการและบริหารสํานักงานเขต	242	312	366	28	26
65054.pdf	2	17396712	1269	318	121	25	26
65054.pdf	2	บาท	1424	320	51	19	26
65054.pdf	3	1. งบบุคลากร	244	368	136	29	26
65054.pdf	3	8205733	1112	368	109	25	26
65054.pdf	3	บาท	1288	370	50	19	26
65054.pdf	4	1.1 เงินเดือน	252	408	127	28	26
65054.pdf	4	6083150	1112	413	110	25	26
65054.pdf	4	บาท	1288	416	50	19	26
65054.pdf	5	01101-1	362	459	88	21	26
65054.pdf	5	อัตราเดิม 16 อัตรา	489	455	175	27	26
65054.pdf	5	5270669	1285	464	104	25	26
65054.pdf	5	บาท	1426	466	48	20	26
65054.pdf	6	01102-1	362	509	88	21	26
65054.pdf	6	เงินเลื่อนขั้น	489	498	112	34	26
65054.pdf	6	308029	1302	514	87	25	26
65054.pdf	6	บาท	1426	516	48	20	26
65054.pdf	7	01106-1	362	559	88	21	26
65054.pdf	7	เงินประจําตําแหน่ง	489	555	173	27	26
65054.pdf	7	226416	1302	564	87	25	26
65054.pdf	7	บาท	1426	566	48	20	26
65054.pdf	8	01107-1	362	609	88	21	26
65054.pdf	8	เงินค่าตอบแทนรายเดือนของข้าราชการ	489	604	350	28	26
65054.pdf	8	263796	1302	614	87	25	26
65054.pdf	8	บาท	1426	616	48	20	26
65054.pdf	9	01108-1	362	659	88	22	26
65054.pdf	9	เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ	489	650	376	32	26
65054.pdf	9	12727	1315	664	75	25	26
65054.pdf	9	บาท	1426	666	48	20	26
65054.pdf	10	01109-1	362	709	88	21	26
65054.pdf	10	เงินช่วยเหลือค่าครองชีพของข้าราชการ	489	704	345	28	26
65054.pdf	10	1513	1327	714	63	25	26
65054.pdf	10	บาท	1426	716	48	20	26
65054.pdf	11	1.2 ค่าจ้างประจํา	244	758	166	28	26
65054.pdf	11	1949634	1114	763	108	25	26
65054.pdf	11	บาท	1288	766	50	19	26
65054.pdf	12	01201-1	355	810	88	21	26
65054.pdf	12	อัตราเดิม 8 อัตรา	481	805	164	27	26
65054.pdf	12	1172524	1286	814	105	25	26
65054.pdf	12	บาท	1426	816	48	20	26
65054.pdf	13	01202-1	355	860	88	21	26
65054.pdf	13	เงินเพิ่มค่าจ้างประจํา	481	850	190	32	26
65054.pdf	13	104308	1303	864	87	25	26
65054.pdf	13	บาท	1426	866	48	20	26
65054.pdf	14	01205-1	355	910	88	22	26
65054.pdf	14	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา	481	900	404	39	26
65054.pdf	14	44856	1314	914	75	25	26
65054.pdf	14	บาท	1426	916	48	20	26
65054.pdf	15	01206-1	355	960	88	21	26
65054.pdf	15	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	481	954	373	35	26
