text,x,y,w,h,filename,line_num
386,776,107,49,26,025.jpg,0
รายละเอียดงบประมาณจําแนกตามงบรายจ่าย,154,277,445,32,025.jpg,1
งานอํานวยการและบริหารสํานักงานเขต,154,324,387,31,025.jpg,2
"9,309,570",1239,330,116,29,025.jpg,2
บาท,1396,333,55,22,025.jpg,2
1.งบบุคลากร,156,376,144,33,025.jpg,3
"3,683,620",1072,376,115,29,025.jpg,3
บาท,1252,379,54,22,025.jpg,3
1.1 เงินเดือน,164,415,133,31,025.jpg,4
"2,991,480",1072,419,115,30,025.jpg,4
บาท,1252,424,54,22,025.jpg,4
01101-1,279,465,93,25,025.jpg,5
อัตราเดิม 7 อัตรา,413,461,172,30,025.jpg,5
"2,610,000",1245,468,111,28,025.jpg,5
บาท,1398,471,51,22,025.jpg,5
01102-1,279,512,93,25,025.jpg,6
ad    &เงนเลอนขน,414,501,121,38,025.jpg,6
"156,600",1265,514,91,28,025.jpg,6
บาท,1398,517,51,22,025.jpg,6
01106-1,279,559,93,25,025.jpg,7
เงินประจําตําแหน่ง,414,554,182,31,025.jpg,7
"101,760",1265,561,91,28,025.jpg,7
บาท,1398,564,51,22,025.jpg,7
01107-1,279,606,93,25,025.jpg,8
เงินค่าตอบแทนรายเดือนของข้าราชการ,414,600,373,32,025.jpg,8
"118,560",1265,608,91,28,025.jpg,8
บาท,1398,611,51,22,025.jpg,8
01108-1,279,653,93,25,025.jpg,9
เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ,414,642,402,37,025.jpg,9
"3,520",1288,655,68,28,025.jpg,9
บาท,1398,658,51,22,025.jpg,9
01109-1,279,700,93,26,025.jpg,10
เงินช่วยเหลือค่าครองชีพของข้าราชการ,414,694,368,32,025.jpg,10
"1,040",1290,702,66,28,025.jpg,10
บาท,1398,705,51,22,025.jpg,10
1.2 ค่าจ้างประจํา,156,737,200,36,025.jpg,11
"564,680",1091,746,96,30,025.jpg,11
บาท,1252,751,54,22,025.jpg,11
01201-1,272,792,93,25,025.jpg,12
อัตราเดิม 2 อัตรา,405,787,173,30,025.jpg,12
"503,400",1263,794,93,28,025.jpg,12
บาท,1398,797,51,22,025.jpg,12
01202-1,272,839,93,25,025.jpg,13
เงินเพิ่มค่าจ้างประจํา,406,828,201,37,025.jpg,13
"30,200",1276,841,80,28,025.jpg,13
บาท,1398,844,51,22,025.jpg,13
01205-1,272,886,93,25,025.jpg,14
เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา,406,875,429,45,025.jpg,14
"19,200",1278,888,78,28,025.jpg,14
บาท,1398,891,51,22,025.jpg,14
01206-1,272,933,93,25,025.jpg,15
เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา,406,927,396,40,025.jpg,15
"11,880",1278,935,78,28,025.jpg,15
บาท,1398,938,51,22,025.jpg,15
1.3 ค่าจ้างชัวคราว|,156,970,214,36,025.jpg,16
"115,200",1093,979,94,29,025.jpg,16
บาท,1252,984,54,22,025.jpg,16
02101-1,272,1025,93,25,025.jpg,17
ค่าจ้างชั่วคราว 1 อัตรา,405,1014,221,37,025.jpg,17
"90,240",1276,1027,80,28,025.jpg,17
บาท,1398,1030,51,22,025.jpg,17
02102-1,272,1072,93,25,025.jpg,18
เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชัวคราว,406,1061,439,45,025.jpg,18
"5,760",1288,1074,68,28,025.jpg,18
บาท,1398,1077,51,22,025.jpg,18
02103-1,272,1118,93,26,025.jpg,19
เงินช่วยเหลือค่าครองชีพของลูกจ้างชัวคราว,406,1108,406,45,025.jpg,19
"19,200",1278,1121,78,28,025.jpg,19
บาท,1398,1124,51,22,025.jpg,19
1.4 ค่าตอบแทน ใช้สอยและวัสดุ,156,1156,342,44,025.jpg,20
"12,260",1106,1165,81,29,025.jpg,20
บาท,1252,1170,54,22,025.jpg,20
03217-1,272,1211,93,26,025.jpg,21
เงินสมทบกองทุนประกันสังคม,406,1206,287,39,025.jpg,21
"5,760",1288,1213,68,28,025.jpg,21
บาท,1398,1216,51,22,025.jpg,21
03611-1,272,1258,93,26,025.jpg,22
ค่าเครื่องแต่งกาย,405,1247,169,37,025.jpg,22
"6,500",1288,1260,68,28,025.jpg,22
บาท,1398,1263,51,22,025.jpg,22
2. งบดําเนินงาน,154,1349,166,30,025.jpg,23
"5,620,050",1072,1354,115,29,025.jpg,23
บาท,1252,1357,54,22,025.jpg,23
2.1 ค่าตอบแทน ใช้สอยและวัสดุ,154,1394,320,39,025.jpg,24
"4,192,850",1072,1398,115,30,025.jpg,24
บาท,1252,1403,54,22,025.jpg,24
2.1.1 ค่าตอบแทน,154,1442,185,29,025.jpg,25
"349,650",1091,1444,96,30,025.jpg,25
บาท,1252,1449,54,22,025.jpg,25
ค่าอาหารทําการนอกเวลา,215,1485,246,30,025.jpg,26
2.1.2 ค่าใช้สอย,154,1531,161,31,025.jpg,27
"3,389,800",1072,1536,115,29,025.jpg,27
บาท,1252,1540,54,22,025.jpg,27
ส่วนใหญ่เป็นค่าจ้างเหมาดูแลทรัพย์สินและรักษาความปลอดภัย,215,1574,587,41,025.jpg,28
ค่าจ้างทําความสะอาดอาคาร ค่าบํารุงรักษาซ่อมแซมเครื่องปรับอากาศ ฯลฯ,215,1616,701,45,025.jpg,29
2.1.3 ค่าวัสดุ,154,1667,137,39,025.jpg,30
"453,400",1091,1670,96,30,025.jpg,30
บาท,1252,1676,54,22,025.jpg,30
ส่วนใหญ่เป็นค่าวัสดุนํามันเชื้อเพลิงและนํามันหล่อลื่น ค่าวัสดุสํานักงาน,217,1705,656,46,025.jpg,31
ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานครัว และงานสวน,215,1756,491,40,025.jpg,32
2.2 ค่าสาธารณูปโภค,154,1798,237,45,025.jpg,33
"1,427,200",1074,1806,113,30,025.jpg,33
บาท,1252,1812,54,22,025.jpg,33
ค่าไฟฟ้า ค่าน้้าประปา ค่าโทรศัพท์,215,1842,324,37,025.jpg,34
387,776,107,50,26,026.jpg,0
3. งบลงทุน,154,342,121,33,026.jpg,1
"5,900",1117,342,70,29,026.jpg,1
บาท,1252,345,54,22,026.jpg,1
esนและสิงก่อสร้าง6 daaun ทดาครุภักค่,154,376,310,44,026.jpg,2
"5,900",1117,386,70,29,026.jpg,2
บาท,1252,390,54,22,026.jpg,2
,154,426,115,39,026.jpg,3
"5,900",1117,431,70,29,026.jpg,3
บาท,1252,435,54,22,026.jpg,3
05108-4,272,476,95,25,026.jpg,4
ตู้เหล็กแบบ 2 บาน 1 ตู้,405,469,231,41,026.jpg,4
"5,900",1288,478,68,28,026.jpg,4
บาท,1398,481,51,22,026.jpg,4
388,776,107,50,26,027.jpg,0
งานปกครอง,154,292,129,28,027.jpg,1
"8,047,330",1239,294,116,30,027.jpg,1
บาท,1396,298,55,22,027.jpg,1
1.งบบุคลากร,156,342,144,33,027.jpg,2
"5,515,680",1072,342,115,29,027.jpg,2
บาท,1252,345,54,22,027.jpg,2
1.1 เงินเดือน,156,381,133,31,027.jpg,3
"4,487,220",1072,385,115,30,027.jpg,3
บาท,1252,390,54,22,027.jpg,3
01101-1,272,431,93,25,027.jpg,4
อัตราเดิม 9 อัตรา,405,426,173,31,027.jpg,4
"3,915,000",1245,433,111,28,027.jpg,4
บาท,1398,436,51,22,027.jpg,4
01102-1,272,478,93,25,027.jpg,5
a. a    &เงนเลอนขน,406,466,121,38,027.jpg,5
"234,900",1263,480,93,28,027.jpg,5
บาท,1398,483,51,22,027.jpg,5
01106-1,272,525,93,25,027.jpg,6
เงินประจําตําแหน่ง,406,520,183,31,027.jpg,6
"152,640",1265,527,91,28,027.jpg,6
บาท,1398,530,51,22,027.jpg,6
01107-1,272,571,93,25,027.jpg,7
เงินค่าตอบแทนรายเดือนของข้าราชการ,406,566,373,32,027.jpg,7
"177,840",1265,574,91,28,027.jpg,7
บาท,1398,577,51,22,027.jpg,7
01108-1,272,618,93,25,027.jpg,8
เงินเพิมการครองชีพชั่วคราวของข้าราชการ,406,608,402,37,027.jpg,8
"5,280",1288,621,68,28,027.jpg,8
บาท,1398,624,51,22,027.jpg,8
01109-1,272,665,93,26,027.jpg,9
เงินช่วยเหลือค่าครองชีพของข้าราชการ,406,660,368,32,027.jpg,9
"1,560",1290,667,66,28,027.jpg,9
บาท,1398,670,51,22,027.jpg,9
1.2 ค่าจ้างประจํา,156,702,200,36,027.jpg,10
"847,020",1091,711,96,30,027.jpg,10
บาท,1252,716,54,22,027.jpg,10
01201-1,272,757,93,25,027.jpg,11
อัตราเดิม 4 อัตรา,405,753,173,30,027.jpg,11
"755,100",1263,760,93,28,027.jpg,11
บาท,1398,763,51,22,027.jpg,11
01202-1,272,804,93,25,027.jpg,12
เงินเพิ่มค่าจ้างประจํา,406,794,201,37,027.jpg,12
"45,300",1276,807,80,28,027.jpg,12
บาท,1398,810,51,22,027.jpg,12
01205-1,272,851,93,25,027.jpg,13
เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา,406,841,429,45,027.jpg,13
"28,800",1276,853,80,28,027.jpg,13
บาท,1398,856,51,22,027.jpg,13
01206-1,272,898,93,25,027.jpg,14
เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา,406,892,396,40,027.jpg,14
"17,820",1278,900,78,28,027.jpg,14
บาท,1398,903,51,22,027.jpg,14
1.3 ค่าจ้างชัวคราว|,156,935,214,36,027.jpg,15
"172,800",1093,945,94,29,027.jpg,15
บาท,1252,949,54,22,027.jpg,15
02101-1,272,990,93,25,027.jpg,16
ค่าจ้างชั่วคราว 1 อัตรา,405,980,221,37,027.jpg,16
"135,360",1265,992,91,28,027.jpg,16
บาท,1398,995,51,22,027.jpg,16
02102-1,272,1037,93,25,027.jpg,17
เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว,406,1026,439,45,027.jpg,17
"8,640",1288,1039,68,28,027.jpg,17
บาท,1398,1042,51,22,027.jpg,17
02103-1,272,1084,93,26,027.jpg,18
เงินช่วยเหลือค่าครองชีพของลูกจ้างชัวคราว,406,1073,406,45,027.jpg,18
"28,800",1276,1086,80,28,027.jpg,18
บาท,1398,1089,51,22,027.jpg,18
1.4 ค่าตอบแทน ใช้สอยและวัสดุ,156,1121,342,44,027.jpg,19
"8,640",1117,1130,70,30,027.jpg,19
บาท,1252,1135,54,22,027.jpg,19
03217-1,272,1176,93,26,027.jpg,20
เงินสมทบกองทุนประกันสังคม,406,1171,287,39,027.jpg,20
"8,640",1288,1178,68,28,027.jpg,20
บาท,1398,1181,51,22,027.jpg,20
2. งบดําเนินงาน,154,1268,166,30,027.jpg,21
"2,179,650",1072,1273,115,29,027.jpg,21
บาท,1252,1276,54,22,027.jpg,21
2.1 ค่าตอบแทน ใช้สอยและวัสดุ,154,1313,320,39,027.jpg,22
"38,850",1104,1318,83,29,027.jpg,22
บาท,1252,1322,54,22,027.jpg,22
ค่าตอบแทน,194,1361,126,29,027.jpg,23
"38,850",1104,1364,83,29,027.jpg,23
บาท,1252,1368,54,22,027.jpg,23
ค่าอาหารทําการนอกเวลา,192,1405,246,30,027.jpg,24
2.2 ค่าสาธารณูปโภค,154,1444,237,45,027.jpg,25
"2,140,800",1072,1453,115,30,027.jpg,25
บาท,1252,1458,54,22,027.jpg,25
ค่าไฟฟ้า ค่าน้ํ้าประปา ค่าโทรศัพท์,200,1487,324,37,027.jpg,26
3. งบรายจ่ายอื่น,154,1584,170,36,027.jpg,27
"352,000",1091,1595,96,29,027.jpg,27
บาท,1252,1598,54,22,027.jpg,27
07110-1,272,1639,93,25,027.jpg,28
ค่าใช้จ่ายเกี่ยวกับการสนับสนุนกิจการอาสาสมัคร,405,1628,459,45,027.jpg,28
ป้องกันภัยฝ่ายพลเรือน,405,1680,223,32,027.jpg,29
"352,000",1263,1688,93,28,027.jpg,29
บาท,1398,1691,51,22,027.jpg,29
389,776,107,50,26,028.jpg,0
งานบริหารทัวไปและบริการทะเบียน,154,237,350,36,028.jpg,1
