filename	line_num	text	x	y	width	height
029.jpg	0	30	766	75	36	23
029.jpg	1	งาน: บริหารทั่วไปและบริการทะเบียน	131	356	368	34
029.jpg	1	10,819,910	1219	367	126	25
029.jpg	1	บาท	1352	369	54	21
029.jpg	2	1. งบบุคลากร	133	415	145	31
029.jpg	2	8,506,600	1061	415	115	25
029.jpg	2	บาท	1183	417	54	21
029.jpg	3	1.1 เงินเดือน	165	453	134	29
029.jpg	3	8,451,300	1061	458	115	26
029.jpg	3	บาท	1191	462	54	21
029.jpg	4	01101-1	259	504	93	22
029.jpg	4	อัตราเดิม 22 อัตรา	386	499	187	29
029.jpg	4	1929,700	1234	507	112	26
029.jpg	4	บาท	1390	510	52	20
029.jpg	5	01102-1	259	552	93	22
029.jpg	5	เงินเลื่อนขั้น	387	539	120	36
029.jpg	5	475,800	1252	554	94	26
029.jpg	5	บาท	1390	557	52	20
029.jpg	6	01107 1	259	599	93	22
029.jpg	6	เงินค่าตอบแทนรายเดือนของข้าราชการ	387	594	371	29
029.jpg	6	42,000	1265	602	81	26
029.jpg	6	บาท	1390	605	52	20
029.jpg	7	01108-1	259	647	93	23
029.jpg	7	เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ	387	636	400	34
029.jpg	7	2,900	1278	649	68	26
029.jpg	7	บาท	1390	652	52	20
029.jpg	8	01109-1	259	694	93	23
029.jpg	8	เงินช่วยเหลือค่าครองชีพของข้าราชการ	387	689	367	29
029.jpg	8	900	1297	697	49	23
029.jpg	8	บาท	1390	700	52	20
029.jpg	9	1.2 ค่าจ้างประจํา| |	157	730	202	35
029.jpg	9	54,000	1094	741	82	26
029.jpg	9	บาท	1183	745	54	21
029.jpg	10	01201-1	251	788	93	22
029.jpg	10	อัตราเดิม 1	386	782	114	29
029.jpg	10	อัตรา	500	782	60	29
029.jpg	10	38,800	1265	790	81	26
029.jpg	10	บาท	1390	793	52	20
029.jpg	11	01202-1	251	835	93	22
029.jpg	11	เงินเพิ่มค่าจ้างประจํา	387	824	201	34
029.jpg	11	2,300	1278	837	68	26
029.jpg	11	บาท	1390	840	52	20
029.jpg	12	01205-1	251	883	93	22
029.jpg	12	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา	387	872	429	42
029.jpg	12	8,000	1278	885	68	26
029.jpg	12	บาท	1390	888	52	20
029.jpg	13	01206-1	251	930	93	23
029.jpg	13	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	387	924	396	37
029.jpg	13	4,900	1278	932	68	26
029.jpg	13	บาท	1390	935	52	20
029.jpg	14	1.3 ค่าตอบแทน ใช้สอยและวัสดุ| ]	157	966	343	43
029.jpg	14	1,300	1109	978	67	26
029.jpg	14	บาท	1183	981	54	21
029.jpg	15	03611-1	251	1023	93	23
029.jpg	15	ค่าเครื่องแต่งกาย	386	1013	167	34
029.jpg	15	1,300	1280	1025	66	26
029.jpg	15	บาท	1390	1028	52	20
029.jpg	16	2. งบดําเนินงาน	131	1116	168	29
029.jpg	16	2,278,900	1061	1122	115	26
029.jpg	16	บาท	1183	1124	54	21
029.jpg	17	2.1 ค่าตอบแทนใช้สอยและวัสดุ	155	1160	313	38
029.jpg	17	2,278,900	1061	1167	115	25
029.jpg	17	บาท	1183	1170	54	21
029.jpg	18	2.1.1 ค่าตอบแทน	194	1209	186	27
029.jpg	18	567,200	1081	1213	95	25
029.jpg	18	บาท	1183	1217	54	21
029.jpg	19	ค่าอาหารทําการนอกเวลา	266	1254	245	28
029.jpg	20	2.1.2 ค่าใช้สอย	194	1299	162	30
029.jpg	20	871,300	1081	1306	95	26
029.jpg	20	บาท	1183	1310	54	21
029.jpg	21	ค่าจ้างเหมาบริการเป็นรายบุคคล	266	1345	308	38
029.jpg	22	ค่าซ่อมแซมครุภัณฑ์	266	1392	194	38
029.jpg	23	ค่าซ่อมแซมยานพาหนะ	266	1442	224	28
029.jpg	24	2.1.3 วัสดุ	194	1488	111	37
029.jpg	24	840,400	1081	1493	95	26
029.jpg	24	บาท	1183	1498	54	21
029.jpg	25	ส่วนใหญ่เป็นค่าชุดแต่งกายเจ้าหน้าที่ปฏิบัติงาน	266	1529	441	42
029.jpg	26	บริการประชาชน	266	1584	165	27
029.jpg	26	ค่าวัสดุสํานักงาน	435	1582	165	37
029.jpg	27	ค่าวัสดุน้ามันเชื้อเพลิงและนํามันหล่อลื่น ฯลฯ	266	1622	426	44
028.jpg	0	29	766	75	36	23
028.jpg	1	2.1.3 วัสดุ	194	358	111	37
028.jpg	1	408,000	1080	363	96	26
028.jpg	1	บาท	1183	367	54	21
