filename	line_num	text	x	y	width	height	page
65026.pdf	0	23	906	98	36	24	22
65026.pdf	1	รายละเอียดงบประมาณจําแนกตามงบรายจ่าย	316	240	434	31	22
65026.pdf	2	งานอํานวยการและบริหารสํานักงานเขต	317	289	378	31	22
65026.pdf	2	10350780	1284	295	125	28	22
65026.pdf	2	บาท	1415	297	51	22	22
65026.pdf	3	1. งบบุคลากร	318	344	140	32	22
65026.pdf	3	5716350	1144	343	112	29	22
65026.pdf	3	บาท	1262	346	52	22	22
65026.pdf	4	1.1 เงินเดือน	346	387	130	31	22
65026.pdf	4	3648750	1143	391	113	29	22
65026.pdf	4	บาท	1263	395	51	22	22
65026.pdf	5	01101-2	432	441	92	26	22
65026.pdf	5	อัตราเดิม 10 อัตรา	553	436	179	31	22
65026.pdf	5	3178850	1303	441	106	29	22
65026.pdf	5	บาท	1416	444	49	23	22
65026.pdf	6	01102-1	432	490	90	26	22
65026.pdf	6	เงินเลื่อนขั้น	553	478	116	38	22
65026.pdf	6	190750	1322	490	87	29	22
65026.pdf	6	บาท	1416	493	49	23	22
65026.pdf	7	01106-1	432	539	90	26	22
65026.pdf	7	เงินประจําตําแหน่ง	553	535	178	30	22
65026.pdf	7	127200	1322	540	87	29	22
65026.pdf	7	บาท	1416	542	49	23	22
65026.pdf	8	01107-1	432	589	90	25	22
65026.pdf	8	เงินค่าตอบแทนรายเดือนของข้าราชการ	553	582	360	32	22
65026.pdf	8	148200	1322	589	87	29	22
65026.pdf	8	บาท	1416	591	49	23	22
65026.pdf	9	01108-1	432	638	90	25	22
65026.pdf	9	เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ	553	627	389	36	22
65026.pdf	9	2900	1345	638	65	29	22
65026.pdf	9	บาท	1416	640	49	23	22
65026.pdf	10	01109-1	432	686	90	26	22
65026.pdf	10	เงินช่วยเหลือค่าครองชีพของข้าราชการ	553	680	356	32	22
65026.pdf	10	850	1363	687	46	26	22
65026.pdf	10	บาท	1416	689	49	23	22
65026.pdf	11	1.2 ค่าจ้างประจํา	338	731	172	31	22
65026.pdf	11	1706650	1145	735	111	29	22
65026.pdf	11	บาท	1262	739	52	22	22
65026.pdf	12	01201-1	424	784	90	26	22
65026.pdf	12	อัตราเดิม 9 อัตรา	546	779	166	31	22
65026.pdf	12	1586700	1305	785	104	29	22
65026.pdf	12	บาท	1416	788	49	23	22
65026.pdf	13	01202-1	424	833	90	26	22
65026.pdf	13	เงินเพิ่มค่าจ้างประจํา	546	823	195	36	22
65026.pdf	13	72400	1333	834	76	29	22
65026.pdf	13	บาท	1416	837	49	23	22
65026.pdf	14	01205-1	424	882	90	26	22
65026.pdf	14	เงินเพิ่มการครองซีพชั่วคราวของลูกจ้างประจํา	546	872	415	43	22
65026.pdf	14	33050	1333	883	76	29	22
65026.pdf	14	บาท	1416	886	49	23	22
65026.pdf	15	01206-1	424	932	90	26	22
