filename	line_num	text	x	y	width	height	page
65027.pdf	0	85	909	98	36	24	22
65027.pdf	1	รายละเอียดงบประมาณจําแนกตามงบรายจ่าย	320	240	434	31	22
65027.pdf	2	งานอํานวยการและบริหารสํานักงานเขต	321	289	377	31	22
65027.pdf	2	10169990	1287	294	125	29	22
65027.pdf	2	บาท	1418	297	52	22	22
65027.pdf	3	1. งบบุคลากร	322	344	139	32	22
65027.pdf	3	6916740	1147	343	112	29	22
65027.pdf	3	บาท	1265	346	52	22	22
65027.pdf	4	1.1 เงินเดือน	349	387	131	31	22
65027.pdf	4	4745220	1147	391	112	29	22
65027.pdf	4	บาท	1266	395	51	22	22
65027.pdf	5	01101-1	435	442	90	25	22
65027.pdf	5	อัตราเดิม 11 อัตรา	556	436	179	31	22
65027.pdf	5	4150200	1306	441	106	29	22
65027.pdf	5	บาท	1419	444	49	23	22
65027.pdf	6	01102-1	435	490	90	26	22
65027.pdf	6	เงินเลื่อนขั้น	556	478	117	38	22
65027.pdf	6	249000	1323	490	90	29	22
65027.pdf	6	บาท	1419	493	49	23	22
65027.pdf	7	01106-1	435	539	90	26	22
65027.pdf	7	เงินประจําตําแหน่ง	556	535	178	30	22
65027.pdf	7	152640	1325	540	88	29	22
65027.pdf	7	บาท	1419	543	49	23	22
65027.pdf	8	01107-1	435	589	90	25	22
65027.pdf	8	เงินค่าตอบแทนรายเดือนของข้าราชการ	556	582	361	32	22
65027.pdf	8	177840	1325	589	88	29	22
65027.pdf	8	บาท	1419	592	49	23	22
65027.pdf	9	01108-1	435	638	90	25	22
65027.pdf	9	เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ	556	627	389	36	22
65027.pdf	9	9600	1348	638	65	29	22
65027.pdf	9	บาท	1419	641	49	23	22
65027.pdf	10	01109-1	435	686	90	26	22
65027.pdf	10	เงินช่วยเหลือค่าครองชีพของข้าราชการ	556	680	356	32	22
65027.pdf	10	5940	1348	687	65	29	22
65027.pdf	10	บาท	1419	690	49	23	22
65027.pdf	11	1.2 ค่าจ้างประจํา	349	731	172	31	22
65027.pdf	11	1606980	1148	735	111	29	22
65027.pdf	11	บาท	1266	739	51	22	22
65027.pdf	12	01201-1	428	784	90	26	22
65027.pdf	12	อัตราเดิม 8 อัตรา	549	779	167	31	22
65027.pdf	12	1489920	1308	785	104	29	22
65027.pdf	12	บาท	1419	788	49	23	22
65027.pdf	13	01202-1	428	833	90	26	22
65027.pdf	13	เงินเพิ่มค่าจ้างประจํา	549	823	195	36	22
65027.pdf	13	ฯ71220	1336	834	76	29	22
65027.pdf	13	บาท	1419	837	49	23	22
65027.pdf	14	01205-1	428	882	90	26	22
65027.pdf	14	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา	549	872	416	43	22
65027.pdf	14	33420	1336	883	76	29	22
65027.pdf	14	บาท	1419	886	49	23	22
65027.pdf	15	01206-1	428	932	90	26	22
65027.pdf	15	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	549	926	383	39	22
65027.pdf	15	12420	1338	932	74	29	22
65027.pdf	15	บาท	1419	935	49	23	22
65027.pdf	16	1.3 ค่าจ้างชั่วคราว	349	971	186	36	22
65027.pdf	16	475260	1166	980	93	29	22
65027.pdf	16	บาท	1266	984	51	22	22
65027.pdf	17	02101-1	428	1030	90	26	22
65027.pdf	17	ค่าจ้างชั่วคราว 4 อัตรา	549	1020	213	36	22
65027.pdf	17	344160	1323	1030	90	29	22
65027.pdf	17	บาท	1419	1033	49	23	22
65027.pdf	18	02102-1	428	1079	90	26	22
65027.pdf	18	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว	549	1069	424	43	22
65027.pdf	18	51900	1336	1079	76	29	22
65027.pdf	18	บาท	1419	1082	49	23	22
65027.pdf	19	02103-1	428	1128	90	26	22
65027.pdf	19	เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว	549	1118	392	43	22
65027.pdf	19	79200	1336	1129	76	29	22
65027.pdf	19	บาท	1419	1132	49	23	22
65027.pdf	20	1.4 ค่าตอบแทน ใช้สอยและวัสดุ	349	1172	311	39	22
65027.pdf	20	89280	1179	1177	80	28	22
65027.pdf	20	บาท	1266	1181	51	22	22
65027.pdf	21	03122-1	428	1226	90	26	22
65027.pdf	21	เงินค่าตอบแทนพิเศษของข้าราชการ	549	1221	328	31	22
65027.pdf	21	41700	1336	1227	76	29	22
65027.pdf	21	บาท	1419	1230	49	23	22
65027.pdf	22	03128-1	428	1275	90	26	22
65027.pdf	22	เงินค่าตอบแทนพิเศษของลูกจ้างประจํา	549	1270	355	38	22
65027.pdf	22	12120	1338	1276	74	29	22
65027.pdf	22	บาท	1419	1279	49	23	22
65027.pdf	23	03217-1	428	1324	90	26	22
65027.pdf	23	เงินสมทบกองทุนประกันสังคม	549	1319	277	39	22
65027.pdf	23	23760	1336	1325	76	29	22
65027.pdf	23	บาท	1419	1328	49	23	22
65027.pdf	24	03611-1	428	1373	90	26	22
65027.pdf	24	ค่าเครื่องแต่งกาย	549	1363	161	36	22
65027.pdf	24	11700	1338	1375	74	28	22
65027.pdf	24	บาท	1419	1377	49	23	22
65027.pdf	25	2. งบดําเนินงาน	321	1467	161	31	22
65027.pdf	25	3197640	1146	1472	113	29	22
65027.pdf	25	บาท	1266	1475	51	22	22
65027.pdf	26	2.1 ค่าตอบแทน ใช้สอยและวัสดุ	348	1515	312	39	22
65027.pdf	26	1300620	1148	1520	111	29	22
65027.pdf	26	บาท	1265	1524	52	22	22
65027.pdf	27	2.1.1 ค่าตอบแทน	400	1566	180	30	22
65027.pdf	27	201420	1166	1569	93	29	22
65027.pdf	27	บาท	1266	1573	51	22	22
65027.pdf	28	ค่าอาหารทําการนอกเวลา	549	1615	237	30	22
65027.pdf	29	ค่าเบี้ยประชุม	549	1656	132	46	22
65027.pdf	0	86	909	96	35	25	23
65027.pdf	1	2.1.2 ค่าใช้สอย	400	239	157	32	23
65027.pdf	1	589200	1166	245	93	28	23
65027.pdf	1	บาท	1266	248	51	22	23
65027.pdf	2	ส่วนใหญ่เป็นค่าบํารุงรักษาซ่อมแซมเครื่องปรับอากาศ	549	283	480	44	23
