filename	line_num	text	x	y	width	height	page
65055.pdf	0	322	848	84	51	21	26
65055.pdf	1	รายละเอียดงบประมาณจําแนกตามงบรายจ่าย	278	174	434	28	26
65055.pdf	2	งานอํานวยการและบริหารสํานักงานเขต	279	225	378	28	26
65055.pdf	2	17832453	1281	228	125	26	26
65055.pdf	2	บาท	1412	233	52	19	26
65055.pdf	3	1. งบบุคลากร	280	282	140	29	26
65055.pdf	3	8200160	1141	279	112	26	26
65055.pdf	3	บาท	1267	284	52	19	26
65055.pdf	4	1.1 เงินเดือน	308	327	130	28	26
65055.pdf	4	5363920	1141	330	112	26	26
65055.pdf	4	บาท	1267	335	52	19	26
65055.pdf	5	01101-1	394	384	90	22	26
65055.pdf	5	อัตราเดิม 15 อัตรา	515	378	179	28	26
65055.pdf	5	4633520	1300	383	106	26	26
65055.pdf	5	บาท	1420	386	50	20	26
65055.pdf	6	01102-1	394	434	90	23	26
65055.pdf	6	เงินเลื่อนขั้น	515	422	116	35	26
65055.pdf	6	268800	1317	434	90	26	26
65055.pdf	6	บาท	1420	437	50	20	26
65055.pdf	7	01106-1	394	485	90	23	26
65055.pdf	7	เงินประจําตําแหน่ง	515	481	178	27	26
65055.pdf	7	203520	1317	485	90	26	26
65055.pdf	7	บาท	1420	488	50	20	26
65055.pdf	8	01107-1	394	536	90	22	26
65055.pdf	8	เงินค่าตอบแทนรายเดือนของข้าราชการ	515	530	360	29	26
65055.pdf	8	237120	1317	535	90	26	26
65055.pdf	8	บาท	1420	538	50	20	26
65055.pdf	9	01108-1	394	587	90	22	26
65055.pdf	9	เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ	515	577	389	33	26
65055.pdf	9	12160	1332	586	74	26	26
65055.pdf	9	บาท	1420	589	50	20	26
65055.pdf	10	01109-1	394	637	90	23	26
65055.pdf	10	เงินช่วยเหลือค่าครองชีพของข้าราชการ	515	632	356	29	26
65055.pdf	10	8800	1342	638	65	25	26
65055.pdf	10	บาท	1420	640	50	20	26
65055.pdf	11	1.2 ค่าจ้างประจํา	300	683	172	28	26
65055.pdf	11	1939120	1142	688	111	25	26
65055.pdf	11	บาท	1260	691	51	19	26
65055.pdf	12	01201-1	386	739	90	23	26
65055.pdf	12	อัตราเดิม 10 อัตรา	508	735	179	28	26
65055.pdf	12	1850880	1302	739	104	26	26
65055.pdf	12	บาท	1413	742	49	20	26
65055.pdf	13	01202-1	386	790	90	23	26
65055.pdf	13	เงินเพิ่มค่าจ้างประจํา	508	781	195	33	26
65055.pdf	13	49840	1330	790	76	26	26
65055.pdf	13	บาท	1413	793	49	20	26
65055.pdf	14	01205-1	386	841	90	23	26
65055.pdf	14	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา	508	832	415	40	26
65055.pdf	14	19200	1332	841	74	26	26
65055.pdf	14	บาท	1413	844	49	20	26
65055.pdf	15	01206-1	386	892	90	23	26
65055.pdf	15	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	508	887	383	36	26
65055.pdf	15	19200	1332	892	74	26	26
65055.pdf	15	บาท	1413	895	49	20	26
65055.pdf	16	1.3 ค่าจ้างชั่วคราว	300	933	187	33	26
65055.pdf	16	799600	1160	942	93	26	26
65055.pdf	16	บาท	1260	946	51	19	26
65055.pdf	17	02101-1	386	994	90	23	26
65055.pdf	17	ค่าจ้างชั่วคราว 6 อัตรา	508	985	213	33	26
65055.pdf	17	590800	1317	994	90	26	26
