,job,L1,L2,L3,amount
0,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.1 เงินเดือน 6,842,610 บาท","01101-1 อัตราเดิม 19 อัตรา 5,968,260 บาท","5,968,260"
1,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.1 เงินเดือน 6,842,610 บาท","01102-1 เงินเลื่อนขั้น 358,200 บาท","358,200"
2,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.1 เงินเดือน 6,842,610 บาท","01106-1 เงินประจําตําแหน่ง 228,960 บาท","228,960"
3,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.1 เงินเดือน 6,842,610 บาท","01107-1 เงินค่าตอบแทนรายเดือนของข้าราชการ 266,760 บาท","266,760"
4,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.1 เงินเดือน 6,842,610 บาท","01108-1 เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ 15,750 บาท","15,750"
5,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.1 เงินเดือน 6,842,610 บาท","01109-1 เงินช่วยเหลือค่าครองชีพของข้าราชการ 4,680 บาท","4,680"
6,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.2 ค่าจ้างประจํา 3,013,020 บาท","01201-1 อัตราเดิม 18 อัตรา 2,622,240 บาท","2,622,240"
7,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.2 ค่าจ้างประจํา 3,013,020 บาท","01202-1 เงินเพิ่มค่าจ้างประจํา 158,400 บาท","158,400"
8,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.2 ค่าจ้างประจํา 3,013,020 บาท","01205-1 เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างประจํา 158,040 บาท","158,040"
9,งานอํานวยการและบริหารสํานักงานเขต,"1. งบบุคลากร 11,008,850 บาท","1.2 ค่าจ้างประจํา 3,013,020 บาท",01206-1 เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา 74340 บาท,74340
