filename	line_num	text	x	y	width	height	page
65046.pdf	0	54	802	154	35	22	27
65046.pdf	1	.	160	331	15	9	27
65046.pdf	1	รายละเอียดงบประมาณจําแนกตามงบรายจ่าย	194	312	423	28	27
65046.pdf	2	งาน: อํานวยการและบริหารสํานักงานเขต	195	362	379	28	27
65046.pdf	2	10141840	1232	368	121	25	27
65046.pdf	2	บาท	1393	370	51	19	27
65046.pdf	3	1. งบบุคลากร	197	418	136	29	27
65046.pdf	3	4851320	1085	418	110	25	27
65046.pdf	3	บาท	1256	420	51	19	27
65046.pdf	4	1.1 เงินเดือน	205	458	127	28	27
65046.pdf	4	3356880	1085	463	110	25	27
65046.pdf	4	บาท	1256	466	51	19	27
65046.pdf	5	01101-1	315	509	89	21	27
65046.pdf	5	อัตราเดิม 8 อัตรา	442	505	163	27	27
65046.pdf	5	2958280	1248	514	105	25	27
65046.pdf	5	บาท	1395	516	48	20	27
65046.pdf	6	01102-1	315	559	89	21	27
65046.pdf	6	เงินเลื่อนขั้น	442	548	112	34	27
65046.pdf	6	1770520	1267	564	86	25	27
65046.pdf	6	บาท	1395	566	48	20	27
65046.pdf	7	01106-1	315	609	89	21	27
65046.pdf	7	เงินประจําตําแหน่ง	442	605	174	27	27
65046.pdf	7	101760	1267	614	86	25	27
65046.pdf	7	บาท	1395	616	48	20	27
65046.pdf	8	01107-1	315	659	89	21	27
65046.pdf	8	เงินค่าตอบแทนรายเดือนของข้าราชการ	442	654	350	28	27
65046.pdf	8	118560	1267	664	86	25	27
65046.pdf	8	บาท	1395	666	48	20	27
65046.pdf	9	01109-1	315	709	89	21	27
65046.pdf	9	เงินช่วยเหลือค่าครองชีพของข้าราชการ	442	704	345	28	27
65046.pdf	9	160	1307	714	46	21	27
65046.pdf	9	บาท	1395	716	48	20	27
65046.pdf	10	1.2 ค่าจ้างประจํา[ |	197	753	190	33	27
65046.pdf	10	1191680	1087	763	108	25	27
65046.pdf	10	บาท	1256	766	51	19	27
65046.pdf	11	01201-1	308	810	88	21	27
65046.pdf	11	อัตราเดิม 5 อัตรา	435	805	163	27	27
65046.pdf	11	116 7280	1249	814	104	25	27
65046.pdf	11	บาท	1395	816	48	20	27
65046.pdf	12	01202-1	308	860	88	21	27
65046.pdf	12	เงินเพิ่มค่าจ้างประจํา	435	850	189	32	27
65046.pdf	12	12800	1279	864	74	25	27
65046.pdf	12	บาท	1395	866	48	20	27
65046.pdf	13	01206-1	308	910	88	21	27
65046.pdf	13	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	435	904	372	35	27
65046.pdf	13	11600	1279	914	74	25	27
65046.pdf	13	บาท	1395	916	48	20	27
65046.pdf	14	1.3 ค่าจ้างชั่วคราว| |	197	953	204	33	27
65046.pdf	14	259200	1102	963	93	25	27
65046.pdf	14	บาท	1256	966	51	19	27
65046.pdf	15	02101-1	308	1010	88	21	27
65046.pdf	15	ค่าจ้างชั่วคราว 2 อัตรา	435	1000	208	32	27
65046.pdf	15	192800	1267	1014	86	25	27
65046.pdf	15	บาท	1395	1016	48	20	27
65046.pdf	16	02102-1	308	1060	88	21	27
65046.pdf	16	เงินเพิ่มการครองชีพชั่วคราวของลูกจ้างชั่วคราว	435	1050	412	39	27
65046.pdf	16	23200	1278	1064	75	25	27
65046.pdf	16	บาท	1395	1066	48	20	27
65046.pdf	17	02103-1	308	1110	88	22	27
65046.pdf	17	เงินช่วยเหลือค่าครองชีพของลูกจ้างชั่วคราว	435	1100	381	39	27
65046.pdf	17	43200	1278	1114	75	25	27
65046.pdf	17	บาท	1395	1116	48	20	27
65046.pdf	18	1.4 ค่าตอบแทน ใช้สอยและวัสดุ| |	197	1154	325	40	27
65046.pdf	18	43560	1116	1163	79	25	27
65046.pdf	18	บาท	1256	1167	51	19	27
65046.pdf	19	03217-1	308	1210	88	22	27
65046.pdf	19	เงินสมทบกองทุนประกันสังคม	435	1205	271	34	27
65046.pdf	19	12960	1279	1215	74	25	27
65046.pdf	19	บาท	1395	1217	48	20	27
65046.pdf	20	03611-1	308	1260	88	22	27
65046.pdf	20	ค่าเครื่องแต่งกาย	435	1250	157	32	27
65046.pdf	20	10400	1279	1265	74	25	27
65046.pdf	20	บาท	1395	1267	48	20	27
65046.pdf	21	03128-1	308	1310	88	22	27
65046.pdf	21	เงินตอบแทนพิเศษของลูกจ้างประจํา	435	1304	322	35	27
65046.pdf	21	20200	1278	1315	75	25	27
65046.pdf	21	บาท	1395	1317	48	20	27
65046.pdf	22	2. งบดําเนินงาน	194	1414	159	27	27
65046.pdf	22	4037820	1085	1419	110	25	27
65046.pdf	22	บาท	1256	1421	51	19	27
65046.pdf	23	2.1 ค่าตอบแทน ใช้สอยและวัสดุ	194	1459	304	35	27
65046.pdf	23	3055860	1085	1464	110	25	27
65046.pdf	23	บาท	1256	1467	51	19	27
65046.pdf	24	2.1.1 ค่าตอบแทน	194	1511	177	26	27
65046.pdf	24	154960	1105	1514	90	25	27
65046.pdf	24	บาท	1256	1517	51	19	27
65046.pdf	25	ค่าอาหารทําการนอกเวลา	254	1555	230	27	27
65046.pdf	26	2.1.2 ค่าใช้สอย	194	1609	154	28	27
65046.pdf	26	2294500	1084	1614	111	25	27
65046.pdf	26	บาท	1256	1617	51	19	27
65046.pdf	27	ส่วนใหญ่เป็นค่าจ้างเหมาดูแลทรัพย์สินและรักษาความปลอดภัย	254	1654	552	36	27
65046.pdf	28	ค่าจ้าง เหมาบริการเป็นรายบุคคลฯ	254	1704	303	36	27
65046.pdf	29	ค่าบํารุงรักษาซ่อมแซมเครื่องปรับอากาศ ฯลฯ	254	1751	402	39	27
65046.pdf	30	2.1.3 ค่าวัสดุ	194	1809	132	35	27
65046.pdf	30	606400	1103	1814	92	25	27
65046.pdf	30	บาท	1256	1817	51	19	27
65046.pdf	31	ส่วนใหญ่เป็นค่าวัสดุสํานักงาน	254	1854	266	36	27
65046.pdf	32	ค่าวัสดุไฟฟ้า ประปา งานบ้าน งานครัว และงานสวน	254	1905	459	35	27
65046.pdf	33	ค่าวัสดุน้ามันเชื้อเพลิงและนํามันหล่อลื่น ฯลฯ	254	1949	399	41	27
65046.pdf	0	55	802	154	34	22	28
65046.pdf	1	2.2 ค่าสาธารณูปโภค| |	194	303	226	40	28
65046.pdf	1	981960	1103	313	92	25	28
65046.pdf	1	บาท	1256	316	51	19	28
65046.pdf	2	ค่าไฟฟ้า ค่าน้ําประปา ค่าโทรศัพท์	254	347	305	34	28
65046.pdf	3	3. งบลงทุน	195	468	115	29	28
65046.pdf	3	1252700	1087	468	108	25	28
65046.pdf	3	บาท	1256	470	51	19	28
65046.pdf	4	ค่าครุภัณฑ์ ที่ดินและสิ่งก่อสร้าง	226	504	290	39	28
65046.pdf	4	1252700	1087	513	108	25	28
65046.pdf	4	บาท	1256	516	51	19	28
65046.pdf	5	ค่าครุภัณฑ์	226	558	109	35	28
65046.pdf	5	1252700	1087	563	108	25	28
65046.pdf	5	บาท	1256	566	51	19	28
65046.pdf	6	05109-3	308	609	89	22	28
65046.pdf	6	1 ตู้เหล็ก แบบ 4 ลิ้นชัก 2 ตู้	434	598	271	41	28
65046.pdf	6	13800	1279	614	74	25	28
65046.pdf	6	บาท	1395	616	48	20	28
65046.pdf	7	05124-2	308	659	90	22	28
65046.pdf	7	(2 เครื่องสูบน้าแบบหอยโข่ง มอเตอร์ไฟฟ้า	434	648	383	41	28
65046.pdf	8	สูบน้าได้ 1,500 ลิตรต่อนาที 1 เครื่อง	471	698	331	41	28
65046.pdf	8	30900	1278	714	75	25	28
65046.pdf	8	บาท	1395	716	48	20	28
65046.pdf	9	05140-1	308	759	88	22	28
65046.pdf	9	3 รถนบังส่วนกลาง ปริมาตรกระบอกสูบ 1,600-1,800 ซีซี	434	750	510	39	28
65046.pdf	10	หรือกําลังเครื่องยนต์สูงสุดไม่ตํากว่า 90 กิโลวัตต์ 1 คัน	471	800	477	39	28
65046.pdf	10	980000	1266	814	87	25	28
65046.pdf	10	บาท	1395	816	48	20	28
65046.pdf	11	05147-4	308	860	90	22	28
65046.pdf	11	8 โต๊ะอเนกประสงค์ 60 ตัว	434	853	256	30	28
65046.pdf	11	228000	1266	864	87	25	28
65046.pdf	11	บาท	1395	866	48	20	28
65046.pdf	0	56	802	154	33	22	29
65046.pdf	1	งาน: ปกครอง	195	315	135	25	29
65046.pdf	1	9318760	1243	318	110	25	29
65046.pdf	1	บาท	1393	320	51	19	29
65046.pdf	2	1. งบบุคลากร	197	368	136	29	29
65046.pdf	2	261380	1085	368	110	25	29
65046.pdf	2	บาท	1256	370	51	19	29
65046.pdf	3	1.1 เงินเดือน	197	408	127	28	29
65046.pdf	3	5035320	1085	413	110	25	29
65046.pdf	3	บาท	1256	416	51	19	29
65046.pdf	4	01101-1	308	459	88	21	29
65046.pdf	4	อัตราเดิม 11 อัตรา	435	455	175	27	29
65046.pdf	4	ๆ437420	1248	464	105	25	29
65046.pdf	4	บาท	1395	466	48	20	29
65046.pdf	5	01102-1	308	509	88	21	29
65046.pdf	5	เงินเลื่อนขั้น	435	498	112	34	29
65046.pdf	5	266280	1266	514	87	25	29
65046.pdf	5	บาท	1395	516	48	20	29
65046.pdf	6	01106-1	308	559	88	21	29
65046.pdf	6	เงินประจําตําแหน่ง	435	555	173	27	29
65046.pdf	6	152640	1267	564	86	25	29
65046.pdf	6	บาท	1395	566	48	20	29
65046.pdf	7	01107-1	308	609	88	21	29
65046.pdf	7	เงินค่าตอบแทนรายเดือนของข้าราชการ	435	604	349	28	29
65046.pdf	7	1717840	1267	614	86	25	29
65046.pdf	7	บาท	1395	616	48	20	29
65046.pdf	8	01109-1	308	659	88	21	29
65046.pdf	8	เงินช่วยเหลือค่าครองชีพของข้าราชการ	435	654	345	28	29
65046.pdf	8	1140	1291	664	62	25	29
65046.pdf	8	บาท	1395	666	48	20	29
65046.pdf	9	1.2 ค่าจ้างประจํา[ |	197	703	190	33	29
65046.pdf	9	1787520	1087	713	108	25	29
65046.pdf	9	บาท	1256	716	51	19	29
65046.pdf	10	01201-1	308	759	88	21	29
65046.pdf	10	อัตราเดิม 8 อัตรา	435	755	163	27	29
65046.pdf	10	1750920	1249	764	104	25	29
65046.pdf	10	บาท	1395	766	48	20	29
65046.pdf	11	01202-1	308	810	88	21	29
65046.pdf	11	เงินเพิ่มค่าจ้างประจํา	435	800	189	32	29
65046.pdf	11	19200	1279	814	74	25	29
65046.pdf	11	บาท	1395	816	48	20	29
65046.pdf	12	01206-1	308	860	88	21	29
65046.pdf	12	เงินช่วยเหลือค่าครองชีพของลูกจ้างประจํา	435	854	372	35	29
65046.pdf	12	17400	1279	864	74	25	29
65046.pdf	12	บาท	1395	866	48	20	29
65046.pdf	13	1.3 ค่าจ้างชั่วคราว| |	197	903	204	33	29
65046.pdf	13	388800	1103	913	92	25	29
65046.pdf	13	บาท	1256	916	51	19	29
65046.pdf	14	02101-1	308	960	88	21	29
65046.pdf	14	ค่าจ้างชั่วคราว 3 อัตรา	435	950	208	32	29
65046.pdf	14	289200	1266	964	87	25	29
65046.pdf	14	บาท	1395	966	48	20	29
65046.pdf	15	02102-1	308	1010	88	21	29
