filename	line_num	text	x	y	width	height	page
65056.pdf	0	298	831	119	51	25	23
65056.pdf	1	รายละเอียดงบประมาณจําแนกตามงบรายจ่าย	241	322	479	31	23
65056.pdf	2	งาน: อํานวยการและบริหารสํานักงานเขต	242	372	431	31	23
65056.pdf	2	17149940	1243	378	135	28	23
65056.pdf	2	บาท	1416	381	57	22	23
65056.pdf	3	1.งบบุคลากร	244	429	154	32	23
65056.pdf	3	10420140	1084	428	135	28	23
65056.pdf	3	บาท	1280	431	56	22	23
65056.pdf	4	1.1	243	475	41	23	23
65056.pdf	4	เงินเดือน	285	468	95	30	23
65056.pdf	4	7430967	1103	473	118	27	23
65056.pdf	4	บาท	1281	477	54	20	23
65056.pdf	5	01101-1	354	517	89	21	23
65056.pdf	5	อัตราเดิม 17 อัตรา	481	512	175	27	23
65056.pdf	5	6523200	1275	519	105	25	23
65056.pdf	5	บาท	1421	521	49	20	23
65056.pdf	6	01102-1	354	561	89	21	23
65056.pdf	6	เงินเลื่อนขั้น	481	550	112	34	23
65056.pdf	6	408600	1292	563	88	25	23
65056.pdf	6	บาท	1421	565	49	20	23
65056.pdf	7	01106-1	354	606	89	21	23
65056.pdf	7	เงินประจําตําแหน่ง	481	601	173	27	23
65056.pdf	7	228960	1292	607	88	25	23
65056.pdf	7	บาท	1421	609	49	20	23
65056.pdf	8	01107-1	354	650	89	21	23
65056.pdf	8	เงินค่าตอบแทนรายเดือนของข้าราชการ	481	644	350	28	23
65056.pdf	8	266760	1292	652	88	25	23
65056.pdf	8	บาท	1421	654	49	20	23
65056.pdf	9	01108-1	354	694	89	22	23
65056.pdf	9	เงินเพิ่มการครองชีพชั่วคราวของข้าราชการ	481	685	376	32	23
65056.pdf	9	2673	1316	696	64	25	23
65056.pdf	9	บาท	1421	698	49	20	23
65056.pdf	10	01109-1	354	739	89	21	23
65056.pdf	10	เงินช่วยเหลือค่าครองชีพของข้าราชการ	481	733	345	28	23
65056.pdf	10	174	1334	740	47	21	23
65056.pdf	10	บาท	1421	742	49	20	23
65056.pdf	11	1.2 ค่าจ้างประจํา[ |	243	772	204	35	23
65056.pdf	11	2138913	1102	783	119	26	23
65056.pdf	11	บาท	1281	786	54	20	23
65056.pdf	12	01201-1	354	826	89	21	23
